"URL","context","images","time","title","topic"
"Diy/item1","[{""S"":""Plastic waste has become a major environmental concern. By reducing our usage of single-use plastics and opting for reusable alternatives, we can significantly reduce plastic waste going into landfills and ending up in our oceans.""},{""S"":""Composting food waste is an eco-friendly way to reduce landfill waste and create nutrient-rich soil. Simply collect your food scraps and garden waste in a compost bin, and let nature do the work to create compost that can be used in your own garden.""},{""S"":""Recycling paper and cardboard is an effective way to minimize deforestation and reduce energy consumption. Make sure to separate paper and cardboard from other wastes and place them in designated recycling bins.""}]","[{""S"":""image1.jpg""},{""S"":""image2.jpg""},{""S"":""image3.jpg""}]","2023-08-25","Household Waste Management","[{""S"":""waste management""},{""S"":""Composting Food Waste""},{""S"":""Recycling Paper & Cardboard""}]"
"xxx/black_waste.html","[{""S"":""vvvv black waste""},{""S"":""ggg waste management""}]","[{""S"":""xxx.com/yy.png""},{""S"":""xxx.com/rr.png""}]","2019-04-01","how to recycle black waste","[{""S"":""recycle""},{""S"":""black waste""},{""S"":""waste management""}]"
"Diy/item3","[]","[]","null","null","null"
"Diy/item2","[]","[]","null","null","null"
"WasteManagement/waste_diposal","[{""S"":""Organic waste includes food scraps, yard waste, and other biodegradable materials. It is recommended to compost organic waste to create nutrient-rich soil for gardening. Avoid throwing organic waste in regular garbage bins.""},{""S"":""Plastic waste is a significant environmental concern. Separate plastic waste based on the recycling codes, if applicable, and dispose of them in the designated recycling bins. Avoid single-use plastics and opt for reusable alternatives whenever possible.""},{""S"":""Paper and cardboard can be recycled. Flatten cardboard boxes before recycling. Remove any non-paper items, such as plastic windows, from paper products before recycling. Check with your local recycling facility for specific guidelines.""},{""S"":""Hazardous waste includes items like batteries, fluorescent bulbs, and electronic waste (e-waste). Properly dispose of hazardous waste at designated collection centers or follow local regulations. Do not dispose of hazardous waste in regular garbage bins.""}]","[{""S"":""organic_waste.png""},{""S"":""plastic_waste.jpg""},{""S"":""paper_cardboard.jpg""},{""S"":""hazardous_waste.jpg""}]","2023-07-25","Waste Disposal Guide","[{""S"":""Waste management""},{""S"":""waste disposal""}]"
"Quiz/Index","[{""S"":""Hello from our View Template!""}]","[]","null","null","null"
"WasteManagement/Household_Waste_Management","[{""S"":""Plastic waste has become a major environmental concern. By reducing our usage of single-use plastics and opting for reusable alternatives, we can significantly reduce plastic waste going into landfills and ending up in our oceans.""},{""S"":""Composting food waste is an eco-friendly way to reduce landfill waste and create nutrient-rich soil. Simply collect your food scraps and garden waste in a compost bin, and let nature do the work to create compost that can be used in your own garden.""},{""S"":""Recycling paper and cardboard is an effective way to minimize deforestation and reduce energy consumption. Make sure to separate paper and cardboard from other wastes and place them in designated recycling bins.""}]","[{""S"":""image1.jpg""},{""S"":""image2.jpg""},{""S"":""image3.jpg""}]","2023-08-25","Household Waste Management","[{""S"":""Reducing Plastic Waste""},{""S"":""Composting Food Waste""},{""S"":""Recycling Paper & Cardboard""}]"
"xxx/green_waste.html","[{""S"":""vvvv green waste""},{""S"":""ggg waste management""}]","[{""S"":""xxx.com/yy.png""},{""S"":""xxx.com/rr.png""}]","2019-03-01","how to recycle green waste","[{""S"":""recycle""},{""S"":""green waste""},{""S"":""waste management""}]"
"xxx/general_waste.html","[{""S"":""vvvv general waste""},{""S"":""ggg waste management""}]","[{""S"":""xxx.com/yy.png""},{""S"":""xxx.com/rr.png""}]","2019-05-01","how to recycle general waste","[{""S"":""recycle""},{""S"":""general waste""},{""S"":""waste management""}]"
"xxx/yellow_waste.html","[{""S"":""vvvv black waste and green waste general""},{""S"":""ggg waste management""}]","[{""S"":""xxx.com/yy.png""},{""S"":""xxx.com/rr.png""}]","2019-01-01","how to recycle yellow waste","[{""S"":""recycle""},{""S"":""yellow waste""},{""S"":""waste management""}]"
